name,desc,category,,
تونر آبرسان,"متعادل‌سازی pH پوست، آبرسانی و طراوت پوست، آماده‌سازی پوست برای محصولات بعدی",بهداشتی,,
ماسک ورقه‌ای آبرسان,"آبرسانی فوری و جذب سریع مواد مغذی، طراوت و شادابی پوست، مناسب استفاده قبل از مهمانی یا آرایش",بهداشتی,,
ماسک خاک رس,"پاکسازی عمقی و کنترل چربی پوست، کوچک کردن منافذ، کاهش براقیت پوست، مناسب پوست‌های چرب",بهداشتی,,
اسکراب صورت,"لایه‌برداری ملایم و حذف سلول‌های مرده، بهبود بافت و لطافت پوست، مناسب استفاده هفتگی",بهداشتی,,
کرم ضدچروک,"کاهش خطوط و چین و چروک، افزایش تولید کلاژن و الاستین، بهبود استحکام پوست، مناسب پوست بالغ",بهداشتی,,
سرم هیالورونیک اسید,"آبرسانی قوی و جلوگیری از خشکی پوست، افزایش انعطاف و نرمی، مناسب استفاده روزانه",بهداشتی,,
پاک‌کننده آرایش دوفاز,"حذف کامل آرایش سنگین و ضدآب، بدون ایجاد خشکی یا التهاب، مناسب چشم و لب",بهداشتی,,
کرم ترمیم‌کننده,"ترمیم سریع زخم‌های سطحی، کاهش التهاب، بهبود بافت آسیب‌دیده، مناسب استفاده بعد از آسیب پوست",بهداشتی,,
ژل ضدجوش,"کاهش التهاب و قرمزی جوش‌ها، خشک‌کننده سریع، جلوگیری از ایجاد آکنه جدید",بهداشتی,,
صابون گلیسیرین,"پاکسازی ملایم و مرطوب‌کننده پوست، مناسب پوست حساس، جلوگیری از خشکی شدید",بهداشتی,,
ژل بهداشتی,"پاکسازی نواحی حساس، حفظ تعادل pH، جلوگیری از بوی نامطبوع، مناسب استفاده روزانه",بهداشتی,,
دهان‌شویه ضدعفونی‌کننده,"کاهش باکتری‌های دهان، افزایش سلامت لثه، تازه‌کننده نفس، مناسب استفاده روزانه",بهداشتی,,
لوسیون بدن,"آبرسانی و نرم‌کنندگی پوست بدن، جلوگیری از خشکی و ترک، ایجاد لطافت و شادابی",بهداشتی,,
کرم ضدلک,"کاهش لکه‌های تیره و قهوه‌ای، یکنواخت‌سازی رنگ پوست، روشن‌کننده پوست، مناسب استفاده منظم",بهداشتی,,
فیس‌میست آلوئه‌ورا,"آبرسانی فوری و طراوت پوست، آرامش‌دهنده و تسکین‌دهنده، مناسب قبل و بعد آرایش",بهداشتی,,
کرم دست مغذی,"نرم‌کننده و ترمیم‌کننده دست‌های خشک، جلوگیری از ترک و خشکی شدید، مناسب استفاده روزانه",بهداشتی,,
روغن بدن,"افزایش نرمی و لطافت پوست، جذب سریع، مناسب ماساژ و مراقبت روزانه",بهداشتی,,
وازلین ارگانیک,"حفظ رطوبت طولانی مدت، محافظت از پوست در برابر خشکی، مناسب استفاده روی لب و نواحی خشک",بهداشتی,,
کرم ترک پا,"نرم‌کننده پاشنه و کف پا، ترمیم ترک‌ها و خشکی شدید، ایجاد لطافت و راحتی در پا",بهداشتی,,
